,body,end,name,party,state,yrs
173,house,"january 3, 2019",clay higgins,republican,"louisiana, district 3",0
174,house,"january 3, 2019",colleen hanabusa,democratic,"hawaii, district 1",1
175,house,"january 3, 2019",collin peterson,democratic,"minnesota, district 7",26
176,house,"january 3, 2019",dan kildee,democratic,"michigan, district 5",4
177,house,"january 3, 2019",dan newhouse,republican,"washington, district 4",2
178,house,"january 3, 2019",dana rohrabacher,republican,"california, district 48",28
179,house,"january 3, 2019",daniel donovan,republican,"new york, district 11",2
180,house,"january 3, 2019",daniel lipinski,democratic,"illinois, district 3",12
181,house,"january 3, 2019",daniel webster,republican,"florida, district 11",6
182,house,"january 3, 2019",danny k. davis,democratic,"illinois, district 7",20
183,house,"january 3, 2019",darin lahood,republican,"illinois, district 18",2
184,house,"january 3, 2019",darrell issa,republican,"california, district 49",16
185,house,"january 3, 2019",darren soto,democratic,"florida, district 9",0
186,house,"january 3, 2019",dave loebsack,democratic,"iowa, district 2",10
187,house,"january 3, 2019",dave reichert,republican,"washington, district 8",12
188,house,"january 3, 2019",david brat,republican,"virginia, district 7",3
189,house,"january 3, 2019",david n. cicilline,democratic,"rhode island, district 1",6
190,house,"january 3, 2019",david joyce,republican,"ohio, district 14",4
191,house,"january 3, 2019",david kustoff,republican,"tennessee, district 8",0
192,house,"january 3, 2019",david mckinley,republican,"west virginia, district 1",6
193,house,"january 3, 2019",david price,democratic,"north carolina, district 4",20
194,house,"january 3, 2019",david rouzer,republican,"north carolina, district 7",2
195,house,"january 3, 2019",david schweikert,republican,"arizona, district 6",6
196,house,"january 3, 2019",david scott,democratic,"georgia, district 13",14
197,house,"january 3, 2019",david trott,republican,"michigan, district 11",2
198,house,"january 3, 2019",david g. valadao,republican,"california, district 21",4
199,house,"january 7, 2017",david young,republican,"iowa, district 3",2
200,house,"january 3, 2019",debbie dingell,democratic,"michigan, district 12",2
201,house,"january 3, 2019",debbie wasserman schultz,democratic,"florida, district 23",12
202,house,"january 3, 2019",dennis a. ross,republican,"florida, district 15",6
203,house,"january 3, 2019",denny heck,democratic,"washington, district 10",4
204,house,"january 3, 2019",derek kilmer,democratic,"washington, district 6",4
205,house,"january 3, 2019",devin nunes,republican,"california, district 22",14
206,house,"january 3, 2019",diana degette,democratic,"colorado, district 1",20
207,house,"january 3, 2019",diane black,republican,"tennessee, district 6",6
208,house,"january 3, 2019",dina titus,democratic,"nevada, district 1",4
209,house,"january 3, 2019",don bacon,republican,"nebraska, district 2",0
210,house,"january 3, 2019",don beyer,democratic,"virginia, district 8",2
211,house,"january 3, 2019",don young,republican,"alaska, at-large district",44
212,house,"january 3, 2019",donald mceachin,democratic,"virginia, district 4",0
213,house,"january 3, 2019",donald norcross,democratic,"new jersey, district 1",3
214,house,"january 3, 2019","donald payne, jr.",democratic,"new jersey, district 10",4
215,house,"january 3, 2019",doris matsui,democratic,"california, district 6",12
216,house,"january 3, 2019",doug collins,republican,"georgia, district 9",4
217,house,"january 3, 2019",doug lamalfa,republican,"california, district 1",4
218,house,"january 3, 2019",doug lamborn,republican,"colorado, district 5",10
219,house,"january 3, 2019",drew ferguson,republican,"georgia, district 3",0
220,house,"january 3, 2019",duncan hunter,republican,"california, district 50",8
221,house,"january 3, 2019",dutch ruppersberger,democratic,"maryland, district 2",14
222,house,"january 3, 2019",dwight evans,democratic,"pennsylvania, district 2",1
223,house,"january 3, 2019","earl ""buddy"" carter",republican,"georgia, district 1",2
224,house,"january 3, 2019",earl blumenauer,democratic,"oregon, district 3",20
225,house,"january 3, 2019",ed perlmutter,democratic,"colorado, district 7",10
226,house,"january 3, 2019",eddie bernice johnson,democratic,"texas, district 30",24
227,house,"january 3, 2019",edward royce,republican,"california, district 39",24
228,house,"january 3, 2019",elijah cummings,democratic,"maryland, district 7",21
229,house,"january 3, 2019",eliot engel,democratic,"new york, district 16",28
230,house,"january 3, 2019",elise stefanik,republican,"new york, district 21",2
231,house,"january 3, 2019",elizabeth esty,democratic,"connecticut, district 5",4
232,house,"january 3, 2019",emanuel cleaver,democratic,"missouri, district 5",13
233,house,"january 3, 2019",eric swalwell,democratic,"california, district 15",4
234,house,"january 3, 2019",erik paulsen,republican,"minnesota, district 3",8
235,house,"january 3, 2019",evan jenkins,republican,"west virginia, district 3",2
236,house,"january 3, 2019",filemon vela,democratic,"texas, district 34",4
237,house,"january 3, 2019",francis rooney,republican,"florida, district 19",0
238,house,"january 3, 2019",frank lobiondo,republican,"new jersey, district 2",22
239,house,"january 3, 2019",frank d. lucas,republican,"oklahoma, district 3",24
240,house,"january 3, 2019",frank pallone,democratic,"new jersey, district 6",24
241,house,"january 3, 2019",fred upton,republican,"michigan, district 6",30
242,house,"january 3, 2019",frederica s. wilson,democratic,"florida, district 24",6
243,house,"january 3, 2019",french hill,republican,"arkansas, district 2",2
244,house,"january 3, 2019",g.k. butterfield,democratic,"north carolina, district 1",13
245,house,"january 7, 2017",garett graves,republican,"louisiana, district 6",2
246,house,"january 3, 2019",gary palmer,republican,"alabama, district 6",2
247,house,"january 3, 2019",gene green,democratic,"texas, district 29",24
248,house,"january 3, 2019",george e.b. holding,republican,"north carolina, district 2",4
249,house,"january 3, 2019",gerry connolly,democratic,"virginia, district 11",8
250,house,"january 3, 2019",glenn grothman,republican,"wisconsin, district 6",2
251,house,"january 3, 2019",glenn thompson,republican,"pennsylvania, district 5",8
252,house,"january 3, 2019",grace meng,democratic,"new york, district 6",4
253,house,"january 3, 2019",grace napolitano,democratic,"california, district 32",18
254,house,"january 3, 2019",greg walden,republican,"oregon, district 2",18
255,house,"january 3, 2019",gregg harper,republican,"mississippi, district 3",8
256,house,"january 3, 2019",gregory w. meeks,democratic,"new york, district 5",4
257,house,"january 3, 2019",gus m. bilirakis,republican,"florida, district 12",10
258,house,"january 3, 2019",gwen moore,democratic,"wisconsin, district 4",12
259,house,"january 3, 2019",hakeem jeffries,democratic,"new york, district 8",4
260,house,"january 3, 2019",hal rogers,republican,"kentucky, district 5",36
261,house,"january 3, 2019",hank johnson,democratic,"georgia, district 4",10
262,house,"january 3, 2019",henry cuellar,democratic,"texas, district 28",12
263,house,"january 3, 2019",ileana ros-lehtinen,republican,"florida, district 27",28
264,house,"january 3, 2019",jack bergman,republican,"michigan, district 1",0
265,house,"january 3, 2019",jackie speier,democratic,"california, district 14",9
266,house,"january 3, 2019",jackie walorski,republican,"indiana, district 2",4
267,house,"january 3, 2019",jacky rosen,democratic,"nevada, district 3",0
268,house,"january 3, 2019",jaime herrera beutler,republican,"washington, district 3",6
269,house,"january 3, 2019",james e. clyburn,democratic,"south carolina, district 6",24
270,house,"january 3, 2019 january 3, 2019",james comer jr.,republican,"kentucky, district 1",1
271,house,"january 3, 2019",jamie raskin,democratic,"maryland, district 8",0
272,house,"january 3, 2019",jan schakowsky,democratic,"illinois, district 9",18
273,house,"january 3, 2019",jared huffman,democratic,"california, district 2",4
274,house,"january 3, 2019",jared polis,democratic,"colorado, district 2",8
275,house,"january 3, 2019",jason chaffetz,republican,"utah, district 3",8
276,house,"january 3, 2019",jason lewis,republican,"minnesota, district 2",0
277,house,"january 3, 2019",jason smith,republican,"missouri, district 8",4
278,house,"january 3, 2019",jeb hensarling,republican,"texas, district 5",14
279,house,"january 3, 2019",jeff denham,republican,"california, district 10",6
280,house,"january 3, 2019",jeff duncan,republican,"south carolina, district 3",6
281,house,"january 3, 2019",jeffrey fortenberry,republican,"nebraska, district 1",12
282,house,"january 3, 2019",jerrold nadler,democratic,"new york, district 10",24
283,house,"january 3, 2019",jerry mcnerney,democratic,"california, district 9",10
284,house,"january 3, 2019",jim banks,republican,"indiana, district 3",0
285,house,"january 3, 2019",jim bridenstine,republican,"oklahoma, district 1",4
286,house,"january 3, 2019",jim cooper,democratic,"tennessee, district 5",14
287,house,"january 3, 2019",jim costa,democratic,"california, district 16",12
288,house,"january 3, 2019",jim himes,democratic,"connecticut, district 4",8
289,house,"january 3, 2019",jim jordan,republican,"ohio, district 4",10
290,house,"january 3, 2019",jim langevin,democratic,"rhode island, district 2",16
291,house,"january 3, 2019",jim mcgovern,democratic,"massachusetts, district 2",28
292,house,"january 3, 2019",james b. renacci,republican,"ohio, district 16",6
293,house,"january 3, 2019",jim sensenbrenner,republican,"wisconsin, district 5",38
294,house,"january 3, 2019",jimmy panetta,democratic,"california, district 20",0
295,house,"january 3, 2019",joaquin castro,democratic,"texas, district 20",4
296,house,"january 3, 2019",jodey arrington,republican,"texas, district 19",0
297,house,"january 3, 2015",jody hice,republican,"georgia, district 10",2
298,house,"january 3, 2019",joe barton,republican,"texas, district 6",32
299,house,"january 3, 2019",joe courtney,democratic,"connecticut, district 2",10
300,house,"january 3, 2019",joe wilson,republican,"south carolina, district 2",16
301,house,"january 3, 2019",john carter,republican,"texas, district 31",14
302,house,"january 3, 2019","john conyers, jr.",democratic,"michigan, district 13",52
303,house,"january 3, 2019",john culberson,republican,"texas, district 7",16
304,house,"january 3, 2019",john delaney,democratic,"maryland, district 6",4
305,house,"january 3, 2019","john j. duncan, jr.",republican,"tennessee, district 2",28
306,house,"january 3, 2019",john faso,republican,"new york, district 19",0
307,house,"january 3, 2019",john garamendi,democratic,"california, district 3",8
308,house,"january 3, 2019",john katko,republican,"new york, district 24",2
309,house,"january 3, 2019",john larson,democratic,"connecticut, district 1",18
