,body,end,name,party,state,yrs
401,house,"january 3, 2019",morgan griffith,republican,"virginia, district 9",6
402,house,"january 3, 2019",nancy pelosi,democratic,"california, district 12",30
403,house,"january 3, 2019",nanette barragan,democratic,"california, district 44",0
404,house,"january 3, 2019",neal dunn,republican,"florida, district 2",0
405,house,"january 3, 2019",niki tsongas,democratic,"massachusetts, district 3",10
406,house,"january 3, 2019",nita lowey,democratic,"new york, district 17",28
407,house,"january 3, 2019",norma torres,democratic,"california, district 35",2
408,house,"january 3, 2019",nydia velázquez,democratic,"new york, district 7",24
409,house,"january 3, 2019",patrick t. mchenry,republican,"north carolina, district 10",12
410,house,"january 3, 2019",patrick meehan,republican,"pennsylvania, district 7",6
411,house,"january 3, 2019",patrick j. tiberi,republican,"ohio, district 12",17
412,house,"january 3, 2019",paul cook,republican,"california, district 8",4
413,house,"january 3, 2019",paul gosar,republican,"arizona, district 4",6
414,house,"january 3, 2019",paul mitchell,republican,"michigan, district 10",0
415,house,"january 3, 2019",paul ryan,republican,"wisconsin, district 1",18
416,house,"january 3, 2019",paul tonko,democratic,"new york, district 20",8
417,house,"january 3, 2019",pete aguilar,democratic,"california, district 31",2
418,house,"january 3, 2019",pete olson,republican,"texas, district 22",8
419,house,"january 3, 2019",pete sessions,republican,"texas, district 32",14
420,house,"january 3, 2019",peter defazio,democratic,"oregon, district 4",30
421,house,"january 3, 2019",peter t. king,republican,"new york, district 2",24
422,house,"january 3, 2019",peter j. roskam,republican,"illinois, district 6",10
423,house,"january 3, 2019",peter j. visclosky,democratic,"indiana, district 1",32
424,house,"january 3, 2019",peter welch,democratic,"vermont, at-large district",10
425,house,"january 3, 2019",phil roe,republican,"tennessee, district 1",8
426,house,"january 3, 2019",pramila jayapal,democratic,"washington, district 7",0
427,house,"january 3, 2019",raja krishnamoorthi,democratic,"illinois, district 8",0
428,house,"january 3, 2017",ralph abraham,republican,"louisiana, district 5",2
429,house,"january 3, 2019",randy hultgren,republican,"illinois, district 14",6
430,house,"january 3, 2019",randy weber,republican,"texas, district 14",4
431,house,"january 3, 2019",raul grijalva,democratic,"arizona, district 3",14
432,house,"january 3, 2019",raul r. labrador,republican,"idaho, district 1",6
433,house,"january 3, 2019",raul ruiz,democratic,"california, district 36",4
434,house,"january 3, 2019",richard hudson,republican,"north carolina, district 8",4
